novo_genero,idade,novo_tipo_usuario,total_viagens
mulheres,68,Assinante,73
mulheres,69,Assinante,54
mulheres,70,Assinante,73
mulheres,71,Assinante,39
mulheres,72,Assinante,32
mulheres,73,Assinante,15
mulheres,74,Assinante,31
mulheres,75,Assinante,14
mulheres,76,Assinante,13
mulheres,77,Assinante,8
mulheres,78,Assinante,8
mulheres,79,Assinante,1
mulheres,80,Assinante,5
mulheres,81,Assinante,1
mulheres,82,Assinante,1
mulheres,83,Assinante,10
mulheres,87,Assinante,3
mulheres,91,Assinante,2
mulheres,97,Assinante,1
mulheres,98,Assinante,2
mulheres,103,Assinante,1
mulheres,105,Assinante,1
