data,total_viagens,crescimento_diario
2017-05-31,92,12
2017-08-01,95,12
2017-09-20,104,12
2017-09-05,112,12
2018-04-12,113,12
2018-05-09,179,12
2016-01-11,20,13
2016-04-05,22,13
2015-10-05,25,13
2016-05-04,25,13
2015-12-10,26,13
2015-12-04,29,13
2015-09-16,36,13
2016-05-05,38,13
2016-03-11,40,13
2016-07-11,55,13
2016-08-22,61,13
2018-01-19,70,13
2018-02-01,83,13
2017-05-16,101,13
2017-10-06,154,13
2016-02-25,19,14
2016-03-09,27,14
2015-11-11,29,14
2016-05-31,46,14
2017-04-09,58,14
2016-06-30,58,14
2016-08-09,67,14
2018-02-20,85,14
2017-11-17,106,14
2017-07-17,111,14
2017-10-04,154,14
2015-08-10,20,15
2016-04-10,27,15
2016-04-13,35,15
2016-03-15,23,16
2016-03-07,27,16
2015-10-26,31,16
2017-12-10,37,16
2016-05-10,55,16
2016-07-24,58,16
2017-11-12,60,16
2016-08-02,68,16
2017-12-12,79,16
2017-09-21,120,16
2018-04-13,129,16
2018-05-21,140,16
2015-11-23,30,17
2017-12-26,30,17
2015-11-20,33,17
2016-07-26,51,17
2017-04-03,71,17
2016-09-07,71,17
2017-04-20,82,17
2017-08-05,102,17
2017-08-23,119,17
2015-09-14,33,18
2016-06-27,52,18
2016-07-03,53,18
2018-03-17,76,18
2018-01-27,82,18
2017-08-28,108,18
2017-07-26,114,18
2018-01-08,24,19
2016-03-29,25,19
2018-04-16,57,19
2017-10-01,122,19
2017-09-14,130,19
2015-07-01,22,20
2015-11-03,48,20
2018-01-18,57,20
2018-01-10,68,20
2017-09-22,140,20
2015-08-31,27,21
2015-09-21,31,21
2018-01-02,40,21
2016-06-09,50,21
2016-07-05,51,21
2016-09-23,93,21
2017-07-11,111,21
2017-06-09,121,21
2017-10-19,163,21
2015-12-30,26,22
2016-05-16,43,22
2017-04-07,45,22
2016-08-01,52,22
2017-04-02,54,22
2017-05-08,69,22
2018-03-19,78,22
2018-03-09,79,22
2017-05-15,88,22
2017-05-09,91,22
2017-07-25,96,22
2017-08-21,106,22
2017-09-18,120,22
2015-10-20,36,23
2016-05-09,39,23
2017-11-25,61,23
2016-08-29,62,23
2017-06-18,77,23
2016-08-30,85,23
2017-06-05,96,23
2017-12-06,99,23
2017-07-28,102,23
2017-11-28,108,23
2018-04-21,124,23
2017-11-24,38,24
2018-01-09,48,24
2017-04-23,71,24
2017-08-14,121,24
2017-09-25,132,24
2018-04-03,64,25
2017-04-27,81,25
2017-12-11,63,26
2017-10-03,140,26
2017-05-06,58,27
2016-07-13,76,27
2017-04-13,87,27
2018-04-23,133,27
2017-04-26,56,28
2017-04-05,62,28
2018-02-19,71,28
2017-07-05,111,28
2018-02-27,118,28
2016-08-15,60,29
2016-09-02,76,29
2018-01-22,77,29
2018-05-17,105,29
2018-03-06,114,29
2017-05-19,116,29
2017-11-02,146,29
2018-03-26,72,30
2018-02-21,115,30
2017-06-01,122,30
2017-07-08,100,31
2018-04-28,120,31
2018-03-03,51,32
2018-01-16,59,32
2018-03-12,69,32
2017-11-20,85,32
2018-04-09,88,32
2017-04-16,77,33
2017-06-14,117,33
2016-05-02,46,34
2017-10-25,128,34
2018-05-29,154,34
2017-10-27,157,34
2017-07-02,79,35
2017-05-01,84,35
2017-06-07,94,35
2017-08-16,110,35
2018-03-14,81,36
2017-04-11,93,36
2018-02-05,66,38
2018-04-05,99,38
2018-03-23,103,38
2016-09-20,81,39
2017-11-27,85,39
2017-09-04,100,39
2017-12-04,107,39
2017-11-14,111,39
2017-05-23,81,40
2017-05-30,80,41
2018-03-05,85,42
2018-04-17,99,42
2017-09-11,131,42
2017-08-03,125,43
2017-10-23,147,43
2017-11-08,118,44
2018-01-29,82,45
2017-05-26,71,46
2018-02-08,80,46
2017-08-30,103,47
2017-06-20,106,47
2016-06-06,62,48
2017-12-18,83,48
2017-07-15,107,48
2018-03-08,57,49
2017-11-06,117,49
2018-03-22,65,50
2017-09-07,113,51
2017-10-17,168,55
2017-05-14,66,56
2018-02-26,90,62
2017-08-19,123,63
2018-05-28,120,64
2018-05-23,165,69
2018-05-07,169,72
2017-10-10,139,73
2018-05-01,166,74
2018-02-12,97,76
2018-04-26,157,84
2017-08-08,121,89
2018-05-14,139,91
2017-10-30,107,100
2018-05-20,124,100
2017-10-29,7,-111
2018-03-07,8,-106
2018-04-15,38,-90
2017-05-13,10,-88
2018-05-19,24,-87
2018-03-02,19,-74
2017-12-09,21,-73
2018-05-26,88,-68
2018-04-27,89,-68
2017-08-07,32,-66
2018-04-25,73,-66
2018-03-21,15,-64
2017-05-25,25,-64
2017-10-08,74,-63
2017-11-18,46,-60
2018-02-22,56,-59
2018-05-12,79,-59
2017-11-10,68,-58
2017-10-24,94,-53
2017-08-29,56,-52
